name,dry,wet
Blackwood2,"['1986-12-01' '1993-12-01' '1997-12-01' '2000-12-01' '2004-12-01'
 '2009-12-01']","['1988-06-01' '1991-06-01' '1992-06-01' '1996-06-01' '1998-06-01'
 '2005-03-01']"
Garford,"['1994-03-01' '1996-03-01' '2008-03-01' '2012-06-01' '2012-09-01'
 '2013-09-01']","['1986-12-01' '1989-03-01' '1992-09-01' '1996-12-01' '2010-09-01'
 '2010-12-01']"
Mandora1,"['1988-06-01' '1989-09-01' '1990-06-01' '1994-06-01' '2000-06-01'
 '2002-06-01']","['1986-12-01' '1994-12-01' '1996-12-01' '1998-12-01' '1999-12-01'
 '2000-12-01']"
Mandora1a,"['1988-06-01' '1989-09-01' '2000-06-01' '2000-09-01' '2005-09-01'
 '2007-06-01']","['1994-12-01' '1996-12-01' '1998-12-01' '2000-03-01' '2000-12-01'
 '2010-12-01']"
Murchison,"['1989-09-01' '1990-09-01' '1991-09-01' '1994-09-01' '1997-12-01'
 '2007-09-01']","['1992-03-01' '1996-06-01' '1999-03-01' '2000-03-01' '2005-12-01'
 '2010-12-01']"
Ord,"['1989-06-01' '1990-06-01' '1994-06-01' '2002-06-01' '2006-06-01'
 '2011-06-01']","['1986-12-01' '1996-12-01' '2003-12-01' '2007-12-01' '2008-12-01'
 '2010-12-01']"
TiTree,"['1991-03-01' '1994-03-01' '1994-06-01' '1997-06-01' '2002-06-01'
 '2012-06-01']","['1990-12-01' '1996-12-01' '1999-12-01' '2000-12-01' '2009-12-01'
 '2010-12-01']"
Daintree,"['1990-09-01' '1991-09-01' '2002-09-01' '2003-09-01' '2005-09-01'
 '2009-06-01']","['1990-12-01' '1996-03-01' '1999-12-01' '2006-03-01' '2008-12-01'
 '2010-12-01']"
Laura,"['1990-09-01' '1991-06-01' '1998-06-01' '2000-06-01' '2002-09-01'
 '2009-06-01']","['1990-12-01' '1992-12-01' '1997-12-01' '1998-12-01' '2007-12-01'
 '2010-12-01']"
Blackwood1,"['1986-12-01' '1994-12-01' '1997-12-01' '2004-12-01' '2009-12-01'
 '2013-12-01']","['1988-06-01' '1992-06-01' '1996-06-01' '1999-06-01' '2000-06-01'
 '2009-06-01']"
