Name,minlat,maxlat,minlon,maxlon
Blackwood2A,-34.1,-33.4,116.4,117.4
Blackwood2B,-34.1,-33.4,117.4,118.4
Blackwood2C,-33.4,-32.7,116.4,117.4
Blackwood2D,-33.4,-32.7,117.4,118.4
GarfordA,-29.9,-29.23,133.15,133.925
GarfordB,-29.9,-29.23,133.925,134.7
Mandora1A,-21.1,-20.3566666667,120.9,121.9166666667
Mandora1B,-21.1,-20.3566666667,121.9166666667,122.9333333333
Mandora1C,-21.1,-20.3566666667,122.9333333333,123.95
Mandora1D,-21.1,-20.3566666667,123.95,124.9666666667
Mandora1E,-21.1,-20.3566666667,124.9666666667,125.9833333333
Mandora1F,-21.1,-20.3566666667,125.9833333333,127
Mandora1G,-20.3566666667,-19.6133333333,120.9,121.9166666667
Mandora1H,-20.3566666667,-19.6133333333,121.9166666667,122.9333333333
Mandora1I,-20.3566666667,-19.6133333333,122.9333333333,123.95
Mandora1J,-20.3566666667,-19.6133333333,123.95,124.9666666667
Mandora1K,-20.3566666667,-19.6133333333,124.9666666667,125.9833333333
Mandora1L,-20.3566666667,-19.6133333333,125.9833333333,127
Mandora1M,-19.6133333333,-18.87,120.9,121.9166666667
Mandora1N,-19.6133333333,-18.87,121.9166666667,122.9333333333
Mandora1O,-19.6133333333,-18.87,122.9333333333,123.95
Mandora1P,-19.6133333333,-18.87,123.95,124.9666666667
Mandora1Q,-19.6133333333,-18.87,124.9666666667,125.9833333333
Mandora1R,-19.6133333333,-18.87,125.9833333333,127
Mandora2A,-20.03,-19.455,120.9,122.1
Mandora2B,-19.455,-18.88,120.9,122.1
Mandora2C,-20.03,-19.455,122.1,123.3
Mandora2D,-19.455,-18.88,122.1,123.3
MurchisonA,-27.95,-27.13,114.75,115.8875
MurchisonB,-27.13,-26.31,114.75,115.8875
MurchisonC,-26.31,-25.49,114.75,115.8875
MurchisonD,-27.95,-27.13,115.8875,117.025
MurchisonE,-27.13,-26.31,115.8875,117.025
MurchisonF,-26.31,-25.49,115.8875,117.025
MurchisonG,-27.95,-27.13,117.025,118.1625
MurchisonH,-27.13,-26.31,117.025,118.1625
MurchisonI,-26.31,-25.49,117.025,118.1625
MurchisonJ,-27.95,-27.13,118.1625,119.3
MurchisonK,-27.13,-26.31,118.1625,119.3
MurchisonL,-26.31,-25.49,118.1625,119.3
Ord,-15.93,-15.05,128.3,129.29
TiTreeA,-23.04,-22.355,133.18,134.24
TiTreeB,-22.355,-21.67,133.18,134.24
Daintree,-16.39,-16.09,145.21,145.42
LauraA,-15.85,-14.43,143.42,144.155
LauraB,-15.85,-14.43,144.155,144.89
Blackwood1A,-34.4,-33.58,115,115.7
Blackwood1B,-34.4,-33.58,115.7,116.4
Testing,-23,-22.95,133.1,133.15
